Balon / Pin Sensor  T-600;16;2
EDP Control T-600;2;2
Electrik Pin/ Pin EDP T-600;1;2
Kabel Optik ;2;2
Kontactor 110V;28;2
Main Motor Jat 500;1;2
Pushbutton JAT 600;20;2
Proximity Sensor ;9;2
Oring 3x58 Viton;3;2
Oring Daihatsu;1;2
Kabel 2x2,5 tunggal;1;2
Kabel Optik 3,5 m;2;2
Bearing  6308;1;2
Bearing  2205;4;2
Bearing  6207;1;2
Bearing  6202;1;2
Bearing  6204;4;2
Bearing  608-2Z-C3;48;2
Bearing  6205-2RSR;1;2
Bearing  2002/626ZZ;19;2
Bobin Shaft / Paku Leno ;52;2
Cam Lever ;1;2
Cam 1/1/.;1;2
Clamper  ;26;2
Gear Leno 34 T;2;2
Gear Pick 24;3;2
Gear Pick 25;3;2
Gear Pick 26;3;2
Gear Pick 27;1;2
Gear Pick 29;1;2
Gear Pick 31;1;2
Gear Pick 34;1;2
Gear Pick 35;3;2
Gear Pick 37;2;2
Gear Pick 38;1;2
Gear Pick 40;2;2
Gear Pick 42;1;2
Gear Pick 44;1;2
Gear Pick 45;1;2
Gear Pick 46;1;2
Gear Pick 47;1;2
Gear Pick 48;11;2
Gear Pick 50;2;2
Gear Pick 52;2;2
Gear Pick 54;2;2
Gear Pick 64;3;2
Gear Pick 66;1;2
Gear Pick 68;1;2
Gear Pick 70;1;2
Gear Pick 82;1;2
Guide Roll 1 Jalur / Guide Roll 40/175 T600;22;2
Guide Roll 2 Jalur / Guide Roll 40/200 T600;20;2
Intermediate Gear Leno ;1;2
Leno Holder R  ;3;2
Leno Holder L ;1;2
Piston Valve ;20;2
Rubber Strip/100 M uk 4cm;55;2
Kunci Leno  ;13;2
Tention Plate Cat Cord ;19;2
Timing Belt Take Up  430;2;2
Timing Belt Sheding 1400;2;2
Cutter Kanan Bawah;1;2
Cutter Kiri Bawah;1;2
Weft Tention / Weft Optic Feeler JAT 600;18;2
Van Belt Main Motor  1700 8M;1;2
Intermediate Gear Leno Besar;1;2
Intermediate Gear Leno Kecil;4;2
Bearing 205;3;2
Stopper Leno;47;2
Body Bush;20;2
Bursh As Leno 2025;8;2
Fluid Sulub Sullair / 18,5 L;1;2
Oli Seal BEE562;1;2
Middle Hook ;185;2
Snap Ring(C8) ;100;2
Sisir Inspect ;7;2
Baut Perseng 1,5 cm x 0,5 Cm;35;2
Baut Leno 0,5 mm x 0,3 mm;13;2
Baut Perseng 5 mm;42;2
Paku Beton ;8;2
Isi Ulang Spidol Permanen ;2;2
Stop Kontak Tanam ;4;2
Stop Kontak Tempel ;18;2
Tali Kamran  30 Cm ;28;2
Paku  ;1;2
Kayu Kamran  ;34;2
Pilok Merah ;2;2
Servo AJL T600;3;2
Baut 4 Cm;30;2
Contact Cleaner;3;2
Hanger;17;2
Kapur warna;4;2
Kawat Las ;15;2
Klem kabel uk 9;30;2
Lem Korea;19;2
Refill Spidol Whiteboard;12;2
Sabun Colek;4;2
Soklin Lantai;4;2
Solasi Hitam kecil;7;2
Solasi Kertas 3 cm;1;2
Spidol Permanen;10;2
Spidol Whiteboard;12;2
Tali Rafia;16;2
Thinner;1;2
WPC;1;2
Baut 6x10;31;2
Baut 6x15;25;2
Baut Blandar 12 Cm;6;2
Papan Tulis ;1;2
Linggis;1;2
Bohlam 10 watt;5;2
Doubel Tape uk 2.5cm;6;2
Rell Gun 197;30;2
Rell Bar Dropper 218mm;30;2
Dropper 165x11x0.4;50000;2
Double Tape uk 1cm;11;2
Fitting Lampu TL;6;2
Baut 12(8x70);1;2
Paku 10 cm;40;2
Paku Beton 7 cm ;70;2
Pisau Cutter biasa;55;2
Cutter Knife Pemotong;2;2
Cat Besi Wrna Grey;3;2
Solasi 3M Scloth;2;2
Gunting Operator Hitam ;90;2
Semen Api;2;2
LCD JAT600 1 Pita;6;2
Touchscren JAT 600;8;2
Load Cell Toyoda JAT 600;4;2
Sensor Feeler JAT 600 WF;1;2
Kabel Optik JAT 5 Meter;7;2
Stabilo FC Pastel;2;2
Stabilo FC Turkis;2;2
Baut LDK 12x50;12;2
Baut MB 12x70;60;2
Baut MB 5/5 12x80;16;2
Baut LTK 5/5 6x10;95;2
Rexco 50/Contact Cleaner;10;2
Rexco 18/WD;2;2
Van Belt OPTI 1700H 40mm;1;2
Van Belt OPTI 1400 8M 60mm;2;2
Gear T34 Plastik;9;2
Gear T36 Plastik;5;2
Yarn Guide T600;6;2
Lever Yarn Guide T600;10;2
AS Leno Holder Bawal;5;2
Bush Bobine Leno;26;2
Timing Belt 1400 H8m;7;2
Solasi Kertas Goldtape uk 5cm;2;2
Buku Batik Kecil isi 100;3;2
ISI STAPLES;100;2
Function Panel (Baru);2;2
Board B T600/610;2;2
Servo Ampliver Besar;1;2
Board A;2;2
EDP Inverter;1;2
TRAFO EDP;2;2
SERVO MOTOR T600;1;2
MIDEL HOOK;1000;2
SLEEVE 3/16;198;2
NUT NOZZK 2ND;1000;2
EDP CONTROL T610;1;2
SERVO AMP T610;1;2
EDP INVERTER T 600;1;2
KOMPONEN BOARD B;1;2
SERVO AMP T600(SET);1;2
Intermediet Gear Leno Kecil/Gear T34 Miring;10;2
Baut 8x25 (Baut 13);39;2
Baut 4x10 ;50;2
Pompa ;1;2
Spikal/Selang biru;10;2
Universal Programer;1;2
EPROM ERASER;1;2
Intermediet Gear Leno Besar T 50;10;2
Plat Tension Card cord/Plat Sensor;22;2
Easing Bracket T610;4;2
Elbo/Nepel 12 drat 17mm;9;2
LET OF BOARD T610;2;2
BOARD C SERVICE;1;2
Stopper Lever T610;13;2
FUNCTION PANEL PITA 1/SERVICE;1;2
PEWARNA MAKANAN ;7;2
Solder Uap;1;2
LENO;20;2
Cap Exentric Crank T610;1;2
Conecting Cap;2;2
Shaft Cap T610;2;2
Bracket Beam 930-800;1;2
V BELT 1700 3 JALUR;7;2
CUTING GERIDA;23;2
Sikat Toilet;1;2
Pengepel Lantai;2;2
Gayung Plastik;1;2
SAPU LANTAI;8;2
SEROK SAMPAH;2;2
HVS F4;5;2
Kertas Buram ;1;2
Label 112;23;2
DRAWING HOOK 2 JARUM;10;2
TENSION SPRING STALES;50;2
PULLEY TOYONDA 115;3;2
SPI ROLL KAIN;42;2
FITTING ELBOW 16-00;25;2
FITTING ELBOW 12-02;47;2
FITING ELBOW 12-03;50;2
SELANG PU 12X08;50;2
Lampu Mesin Todo HL;2;2
Split Bush 50;16;2
TC 74HC 14 Sound;100;2
IC 4C93 Sound;100;2
Transistor A733;50;2
Transistor A1015 ;50;2
Fungsional Panel;2;2
BH Loctite 242;1;2
Mur baut 10x75;48;2
Rexco 25 (Chain Lube) 350ml;4;2
BUSH LUCATOR MOTOR CUTTER;5;2
Shaft MC JAT 600 ;2;2
BEARING HOUSING AJL;4;2
DISC EXENCTRING SHADING JAT 600;1;2
Air cylinder ;3;1
Conveyor Blowing RK ( 1170 x 970 );1;1
Napple 12 x 1/2 ;1;1
Gear bintang 9 T Belakang ;2;1
Gear bintang 9 T Depan ;2;1
Gear blowing RK 29 T;2;1
Gear Blowing RK 42 T;2;1
Gear Blowing RK 51 T;4;1
Gear Blowing RK 68 T;3;1
Gear GBR Type - A 48 T;1;1
Gear GBR Type - B 51 T;2;1
Gear GBR Type - C 23 T;2;1
Gear shaft motor TFV 36 T;2;1
Shaft Gearbox motor TFV 8 T;2;1
Sprocket RK 15 T RS 50;2;1
Filter blower Gaspulaptor;1;1
Sambungan napple 6 ;13;1
Pully GBRA 1 x V-Belt A DIA 320 ;1;1
Baut special RK 10 x 1,5 x 25;20;1
Flat setting / Slide bar;2;1
Conveyor RK 1020 x 1170;1;1
Gear Ancuran 67 T;2;1
Baut Carding;3;1
Baut Set Carding ;2;1
Bracket bearing UC 207;2;1
Bracket nylon hitam / Bracket FBK;2;1
Callender roll unit ;4;1
Cover Rumah bearing Stripping ;2;1
Bevel gear 30 T Toplate ;4;1
Karet couple motor feedroll;5;1
Lofret ;1;1
Pully Carding dia 110;1;1
Pully liker - in;1;1
Rantai DID 06B;2;1
Sprcoket Rantai DID 06B 33 T ( Bulat );1;1
Sabuk kulit ;2;1
Scrapper ;8;1
Speacer toplate Carding ;6;1
Slider bar;1;1
Shaft calender roll ;2;1
Shaft FBK;2;1
Stripping fillter bengkok atas ( QJ 01 );1;1
Stripping fillter bengkok bawah ( QJ 02 );3;1
Stripping fillter bengkok bawah ( QJ 03 );1;1
Sprocket feedroll 27 T;1;1
Sprocket feedroll 38 T;3;1
Sprocket feedroll 40 T;1;1
Sprocket feedroll 42 T;1;1
Sprocket carding 34 T ;8;1
Sprocket feedroll 18 T;2;1
Oil Seal 33 x 55 x 8;46;1
Oil Seal 35 x 47 x 7;4;1
Wire liker - in;1;1
Worm Gear Carding ;1;1
Worm Gear Kecil Bronze T - 100 ( pasangan ) ;2;1
Part almunium bar for thruzchler DK 760 ;32;1
Shaft coiller pendek carding;4;1
Timming Gear 14 T;1;1
Timming Gear 27 T;1;1
Timming Gear Callender Carding;2;1
Worm Gear kuningan bronze T - 100;1;1
Bottom appron 38,8 x 39 x 1.4;404;1
Bracket for lifter rack ;1;1
Bracket for lifter slide;3;1
Bracket / Rumah Bearing Cone drum ;1;1
Bracket / Rumah bearing shaft Cleaner;3;1
Bottom Cleaner cloth ;31;1
Bottom Roll RV ;9;1
bottom Roller cleaner RV;4;1
Bottom roller Stay ;5;1
Creadle FL 16;54;1
Clutch Y Roving Flit;2;1
Cut sack ansor bar;1;1
Condensor RV;40;1
Coupling flyer drive ;5;1
Cleaner cloth ;156;1
Fork transverse FL 16;2;1
Driving flyer shaft ;5;1
Flat lever ;19;1
Bracket top cleaner depan;20;1
Bracket top cleaner belakang ;19;1
Guild Cleaner FL 16;17;1
Klem presser flyer ;7;1
Loose bush RV;90;1
Lever Reversing ;1;1
Lever / Engkol ;1;1
Lifter rack kanan;4;1
Lifter rack tengah ;1;1
Long socket pinion Gear ;1;1
Main shaft flyer;2;1
Nock seal 58 x 80 x 3;5;1
Nock seal 68 x 90 x 12;4;1
Nock seal 110 x 140 x 14;4;1
Neadle bearing bottom roll RV;37;1
Neadle bearing Front  bottom roll RV;2;1
Presser flyer RV;6;1
Pin presser flyer ;83;1
Pinion defensial;1;1
Pinion Shaft bottom roll 3RD RV ;1;1
Pinion Shaft Defensial Gearbox;1;1
Pully balancing weight ;1;1
Lifter rak kiri;1;1
Rumah bearing / Bearing housing Flyer RV ;2;1
Roll stand FL 16 ;1;1
Rantai Bandul RV;3;1
Rubber coat RV ;554;1
Stay Horn roving;1;1
Shaft bracket Roving ;1;1
Shaft bottom roll RV ( Second bottom roll );3;1
Shaft Idle wheel FL 16;1;1
Speacer Biru;394;1
Screw presser flyer ;53;1
Suction FL 16 ;5;1
Swallow tail;1;1
Top appron 37 x 39 x 1.1;1258;1
Tension top cleaner FL 16;13;1
Twist cap Gerigi 74 x 54 x 22;60;1
Top cleaner RV ;1;1
Rantai bracket RV ;3;1
Top arm spring RV;40;1
Swallow tail block ;5;1
Roll Tension FL 16;17;1
Bobin Gear R ;2;1
Flyer Gear L;4;1
Gear Shaft Flyer drive R ;4;1
Gear Shaft Flyer drive L;5;1
Gear Constant 70 T ;1;1
Gear Constant 94 T ;1;1
Gear Twist TPI 32 T ;1;1
Gear Twist Tpi 33 T;4;1
Gear Draft RV T 53 ;1;1
Gear Draft RV T 55;2;1
Gear Draft RV T 57;3;1
Gear Draft RV T 63;3;1
Gear Draft RV T 65;4;1
Gear Nylon cone drum ;3;1
Gear lifting 25 T;2;1
Gear 52 T Winding Change wheel ;1;1
Absober Drawing RSB 30;1;1
Air Regulator AR20-01BG-A;3;1
Air Regulator AR20-02BG-A;3;1
Callender roll RSB 30 1 set Second;1;1
Cleaner RSB 30 ;8;1
Double Gear RSB 30 T 32 / 16 T;1;1
Gear motoran gearbox RSB 30 ;1;1
"Napple ""5"" ( Fitting KFH08U-02S )";1;1
Napple L  8 1/2 ( Fitting KFL08U-01S);4;1
Napple L 8 2/3 ( Fitting KFL08U-02S);9;1
Collet;2;1
Oil seal 28 x 40 x 7;10;1
Oil seal 22 x 30 x 4/5/8;10;1
Oil seal 30 x 42 x 7;11;1
Oil seal 65 x 100 x 10 ;2;1
Oil seal 70 x 100 x 13;2;1
Roll RSB 30 ;2;1
"Selang ""5"" inch ( TU0604BU20)";1;1
Silver Guild Scanning roll;1;1
Shaft callender roll Frist ;2;1
Shaft callender roll second;2;1
Shaft Front bottom roll RSB 30 ;2;1
Shaft Back bottom roll RSB 30 ;1;1
Shaft tension pendek ;8;1
Shaft tension panjang Q 114;1;1
Shaft XMW 2 ;6;1
Tension roll nylon / tension creel  ;2;1
Top roll Drawing  RSB 30 ;11;1
oil seal 28 x 47 x 7;1;1
O-Ring 2 x 46;2;1
Oil seal 20 x 30 x 7;9;1
Bracket Top roll drawing ;4;1
Bush end top roll drawing DX 500 ;10;1
Bush Creal bahan besi ;4;1
Bracket Sensor DX 500 ;5;1
Coupling nylon drawing DX 500;5;1
Gear nylon Callender roll 16 T;1;1
Gear  nylon creal 18 T ;13;1
Gear creal 18 T Besi;1;1
Couple bottom roll DX 500;2;1
Bracket driving shaft ;1;1
Front Driving shaft ;1;1
Second Driving shaft ;1;1
Bracket counter ;1;1
Bracket engkol cleaner ;1;1
Thrid driving shaft ;1;1
Neadle bearing DX 500;5;1
Oil seal 17 x 30 x 6;10;1
Per Top Arm DX 500 / Spring weighting Arm ;4;1
Plunger Top arm DX 500 ;2;1
Pressure bar ;5;1
Pressure bar holder ;7;1
Rubber Coupling Drawing DX 500;2;1
Stud pressure Callender roll;10;1
Shaft bottom roll DX 500;6;1
Shaft bottom roll DX 500 pasangan;3;1
Shaft DC DX 500;3;1
Shaft sensor DX 500;1;1
Tutup Creal ;1;1
Top roll drawing DX 500;4;1
Sprocket clutch DX 500;2;1
Vertikal shaft DX 500 ;3;1
Stud botttom DX 500;3;1
Tube / Pipa coiler ;2;1
Gear Constant DC T 44 ;2;1
Gear Constant FG T 52;1;1
( bevel ) Gear box Coiller DX 500 T 20 ;1;1
( bevel ) Gear box Coiller DX 500 T 30 ;1;1
Timming Gear DX 500 30 T;1;1
Gear 81 T;2;1
Gear A 75 T ;1;1
Bobin hanger;90;1
Couple for shaft front roll;14;1
Elbow Blower ;3;1
Lappet;39;1
Lem spindle tape ;4;1
Loose bush RF;50;1
Ring bottom roll;688;1
Rubber Coat RF ;750;1
Snail wire ;2079;1
Screen Blower / Filter blower;16;1
Top appron 37 x 28 x 1;3413;1
Trompet ;4;1
Almunium holder;679;1
Bearing center RX 100;3;1
Base for belt tension RX 100;2;1
Bush nylon Gauge Center spindle;4;1
Bottom appron 37,5;1255;1
Baut motoran u-bolt;94;1
Contak Roll  ( Servis );33;1
Contak Roll  ( Baru );13;1
Couple Encoder ;14;1
Couple Motor GE  ;2;1
Dudukan Encoder;4;1
Gear nylon Lifting 32 T L;4;1
Gear nylon Lifting 32 T R;3;1
Karet couple motor GE ;40;1
Condensor Gauge 75;990;1
Lem spindle tape eropa ;1;1
Matahari Encoder;3;1
Matahari Spindle drive;16;1
Matahari Gearbox Belakang;5;1
Matahari Gearbox Depan;7;1
Mur Main drive ;16;1
Napple Neadle bearing bottom roll RX 100;20;1
Oil Seal 8 x 22 x 7;20;1
Oil Seal 26 x 52 x 718;8;1
Oil Seal 30 x 42 x 8;5;1
Oil Seal 30 x 55 x 12 / AE1736E ;3;1
Pully motor spindle ;1;1
Pully Motor GE ;2;1
Pompa oli ;2;1
Pengunci Gearbox;21;1
Endplug out;158;1
Endplug in;52;1
Rubber fluit RX 100;79;1
Rumah / Housing Spindle drive ;1;1
Ringflange ;3257;1
Ring main drive;1;1
Napple 10 x 3/8;2;1
Napple 12  x 3/8;8;1
Ship contact roll;385;1
Selang nylon 6;1;1
Shaft Gearbox RF ;3;1
Shaft  worm Gearbox ;3;1
Shaft  joint Gearbox ;2;1
Stud idle wheel ;11;1
Shaft pully syronous;3;1
Shaft Foker;4;1
Shaft Twist constant QW;4;1
Shaft for twist change wheel ;8;1
Shaft for draft Carrier wheel ;3;1
Shaft for intermeted wheel L;2;1
Shaft Main drive;11;1
Shaft Spindle Drive;1;1
Shaft Clutch Gearbox RX 100;2;1
Shaft Front bottom roll GE L ( RX 100 );2;1
Shaft Middle bottom roll GE L ( RX 100 );2;1
Shaft Middle bottom roll GE R ( RX 100 );5;1
Shaft Back bottom roll GE L ( RX 100 );5;1
Shaft Back bottom roll GE R ( RX 100 );5;1
Shaft Front Bottom roll OE L ( RX 100 );3;1
Shaft Front Bottom roll  OE R ( RX 100 );3;1
Shaft Middle Bottom roll OE L ( RX 100 );5;1
Shaft Middle Bottom roll OE R ( RX 100 );3;1
Worm Gear 28 T;4;1
Gear pinion 23 T;8;1
Gear Draft 29 T;29;1
Gear Draft 30 T;4;1
Gear Draft 31 T;11;1
Gear Main Drive 31 T;5;1
Gear H 31 T;11;1
Gear J 33 T ;4;1
Gear pinion 37 T main shaft;2;1
Gear 51 T;6;1
Gear 52 T;6;1
Gear DC 64 T RX 100;2;1
Gear Twist 75 T;3;1
Gear Draft 112 T;1;1
Gear BRW 128 T;1;1
Gear Trompet 64 T ;1;1
Bevel Gear 40 T atas ;7;1
Gear 103 T ;2;1
Gear 42 T;4;1
Baut Payung 12 x 6;4;1
Baut payung 19;1;1
Baut payung 21;1;1
Bracket lifter rantai A;2;1
Bracket lifter rantai C;3;1
Bracket lifter rantai D;3;1
